lon,lat,name,address,pname,cityname,adname,business_area,type,typecode,id,type1,type2,type3,type4
113.56394684548468,22.164504543148894,Iglesia Ni Cristo Locale of Taipa,"Macao,澳门宝光发展有限公司工业中心",澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;教堂,110206,B0K3DZKP44,风景名胜,风景名胜,教堂,
113.56181136863606,22.159346726984307,Dog Park,"Jardim Do Lago,Macao",澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0K3DZUH8D,风景名胜,公园广场,公园,
113.5622717069969,22.167231370829157,镜海长虹,嘉模堂区半岛,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFF34SB0,风景名胜,风景名胜相关,旅游景点,
113.55848688243027,22.161979937361238,关帝庙,卓家村路与菜园路交叉口东北80米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;寺庙道观,110205,B073D00JFY,风景名胜,风景名胜,寺庙道观,
113.56128242082032,22.158945839402048,湖畔大厦平台花园,美副将马路,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0K3MZSBRZ,风景名胜,公园广场,公园,
113.55852295528473,22.16195298160847,关帝天后古庙,卓家村路与菜园路交叉口东北80米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;国家级景点,110202,B0K3MZQTQ6,风景名胜,风景名胜,国家级景点,
113.56590057290681,22.15775137361055,大潭山郊野公园,澳门嘉模堂区嘉乐庇总督马路,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B073D00JKW,风景名胜,公园广场,公园,
113.55778767087882,22.159156782858375,城市广场,孙逸仙博士大马路与孙逸仙博士圆形地交叉口南40米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;城市广场,110105,B0HD3AOE5I,风景名胜,公园广场,城市广场,
113.55602674607597,22.164393011442606,观音岩,"观音岩Kun Yam Rock,Taipa,澳门",澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B073D00IV1,风景名胜,风景名胜相关,旅游景点,
113.55658279328438,22.16600051553703,Macau Horizon,氹仔东北马路Island Park(bloco 10),澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;观景点,110209,B0K3MZLQ8K,风景名胜,风景名胜,观景点,
113.55898216034677,22.157142817919535,南塔,南京街与奥林匹克大马路交叉口北60米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFFXDWE7,风景名胜,风景名胜相关,旅游景点,
113.57051560070958,22.159023931490434,雕塑公园,信安马路与顺荣街交叉口南320米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0FFIPM8N3,风景名胜,公园广场,公园,
113.57059972620162,22.15894498467686,观景亭,信安马路与顺荣街交叉口南340米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B073D00ID7,风景名胜,风景名胜相关,旅游景点,
113.56140086298166,22.15541563759311,Taipa Grande Viewing Platform,嘉乐庇总督马路与光复街交叉口北80米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;观景点,110209,B0K3MZNEMB,风景名胜,风景名胜,观景点,
113.57117652642191,22.1592176549051,瞭望台,信安马路与顺荣街交叉口南300米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B073D00IDA,风景名胜,风景名胜相关,旅游景点,
113.57083806050993,22.159029252456357,Mountain Park,天文台斜路,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0K3MZS3YQ,风景名胜,公园广场,公园,
113.55882089268962,22.156389284514205,基督教宣道会氹仔堂,氹仔奥林匹克大马路522号华南工业大厦第一座2D,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;教堂,110206,B073D00K4F,风景名胜,风景名胜,教堂,
113.55955437407938,22.15549802765143,三婆庙,飞能便度街,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;寺庙道观,110205,B073D00IU9,风景名胜,风景名胜,寺庙道观,
113.55708442414326,22.15642963292895,花城公园,埃武拉街和奥林匹克马路之间,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B073D00J4V,风景名胜,公园广场,公园,
113.55471030208277,22.159211862725332,氹仔中央公园,成都街7号,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0FFFXIVX9,风景名胜,公园广场,公园,
113.55748321480269,22.156694359103586,花城公园侧之空地,埃武拉街与哥英布拉街交叉口东南40米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFIPOW0T,风景名胜,风景名胜相关,旅游景点,
113.57139884324437,22.159124832953218,大潭山郊野公园公厕,澳门Taipa Grande Natural Park,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0KKNM4IIQ,风景名胜,公园广场,公园,
113.57162217801257,22.15873389472539,大潭山环山泾,信安马路与顺荣街交叉口南340米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B073D00ID8,风景名胜,风景名胜相关,旅游景点,
113.56078078005336,22.15430333370261,龙环葡韵湿地科普园地,光复街,澳门特别行政区,澳门特别行政区,路氹填海区,,风景名胜;公园广场;公园,110101,B0K3MZH4FN,风景名胜,公园广场,公园,
113.56111739272643,22.15454790387325,Foot of Taipa Grande Viewing Platform,"联昌工业大厦1楼及地下,169号沙梨头海边马路,澳门",澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0KKGG8UC7,风景名胜,风景名胜相关,旅游景点,
113.55904143246505,22.154667945612655,益隆炮竹厂旧址,飞能便度街70号,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;风景名胜,110200,B0KBX5GXJ5,风景名胜,风景名胜,风景名胜,
113.55494384867768,22.15842894900531,Nova Taipa Gardens,成都街与基马拉斯大马路交叉口北80米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0J2RXW0FJ,风景名胜,风景名胜相关,旅游景点,
113.5722860817424,22.158803540541072,Grass sliding ground at the Taipa Grande Natural Park,伟龙马路与北安大马路交叉口西南280米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0KKMPJ7VG,风景名胜,公园广场,公园,
113.57334124520538,22.162568931523673,乘风展翅,澳门嘉模堂区,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFI7AL11,风景名胜,风景名胜相关,旅游景点,
113.5590494449807,22.15471697663669,益隆炮竹厂旧址游径,澳门胡琴巷13a号,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;国家级景点,110202,B0JUJBMQSE,风景名胜,风景名胜,国家级景点,
113.55941518738825,22.154202318668986,市政花园,澳门特别行政区嘉模堂区凼仔(近官也街),澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B073D00IU6,风景名胜,风景名胜相关,旅游景点,
113.5594522609776,22.154171361278962,凼仔市政公园,澳门Avenida de Carlos da Maia,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0J354RZ8Z,风景名胜,公园广场,公园,
113.55997528511647,22.153856003524744,氹仔人工湿地公园,澳门特别行政区路氹填海区光复街东50米,澳门特别行政区,澳门特别行政区,路氹填海区,,风景名胜;公园广场;公园,110101,B0FFHWQMBZ,风景名胜,公园广场,公园,
113.55995023577769,22.153879976485015,葡韵,澳门Taipa Houses Museum,澳门特别行政区,澳门特别行政区,路氹填海区,,风景名胜;风景名胜;风景名胜,110200,B0K3MZTDLH,风景名胜,风景名胜,风景名胜,
113.55951637693225,22.154294503648554,贾梅士雕像,光复街与素啤古交叉口西40米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;风景名胜,110200,B0K2792ORA,风景名胜,风景名胜,风景名胜,
113.56190692969983,22.15323148605149,十字公园,海边马路凼仔,澳门特别行政区,澳门特别行政区,路氹填海区,,风景名胜;公园广场;公园,110101,B073D00IU1,风景名胜,公园广场,公园,
113.55878396134531,22.154159362350892,风景巷,飞能便度街与老虎巷交叉口东北60米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;风景名胜,110200,B0K279BTQT,风景名胜,风景名胜,风景名胜,
113.55860061273967,22.153977015286973,医灵庙,"澳门Rua Directa Carlos Eugenio,Taipa施督宪正街Macau",澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;寺庙道观,110205,B073D00IP5,风景名胜,风景名胜,寺庙道观,
113.55864369705004,22.15398408302757,嘉模斜巷,飞能便度街与老虎巷交叉口东北40米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;风景名胜,110200,B0K279B61A,风景名胜,风景名胜,风景名胜,
113.55875094037253,22.153467042881523,嘉模圣母堂,嘉路士米耶马路,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;教堂,110206,B073D00IU2,风景名胜,风景名胜,教堂,
113.55775190700709,22.154290841724077,老虎巷,律政司街与消防局前地交叉口东40米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;国家级景点,110202,B0K2792OTC,风景名胜,风景名胜,国家级景点,
113.55897637046984,22.153641448666377,Our Lady of Mt.Carmel Catholic Church,飞能便度街与老虎巷交叉口东60米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;教堂,110206,B0J2RXWYXS,风景名胜,风景名胜,教堂,
113.55671780859711,22.154332238885353,澳门消防局前地,澳门特别行政区嘉模堂区消防局前地38号附近,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFI7M4U9,风景名胜,风景名胜相关,旅游景点,
113.55153819461029,22.161324184756452,菩提禅院,嘉模堂区卢廉若马路5号,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;寺庙道观,110205,B073D00J92,风景名胜,风景名胜,寺庙道观,
113.55778403459449,22.15329150176402,观音堂(施督宪正街),施督宪正街与律政司街交叉口西南20米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;寺庙道观,110205,B073D00IOR,风景名胜,风景名胜,寺庙道观,
113.55325224833469,22.157624775139283,圣公会澳门圣士提反堂,亚威罗街125号,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;教堂,110206,B073D00K44,风景名胜,风景名胜,教堂,
113.55705253566103,22.15364149856749,凼仔村,律政司街与消防局前地交叉口南80米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFHCBPQT,风景名胜,风景名胜相关,旅游景点,
113.55734615113968,22.153325835554217,嘉模墟,澳门官也街,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFI7HAJL,风景名胜,风景名胜相关,旅游景点,
113.55165347238328,22.161053287162776,菩提禅院(Pou Tai Temple),永诚街与布拉干萨街交叉口东北100米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜;国家级景点,110202,B0K3MZR1IV,风景名胜,风景名胜,国家级景点,
113.55666575208227,22.153538847039854,米也马嘉礼前地,德行街与生央街交叉口东40米,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;公园,110101,B0K3MZMYY6,风景名胜,公园广场,公园,
113.5688024775374,22.152663690933228,澳科大爱心树,美副将马路154号,澳门特别行政区,澳门特别行政区,路氹填海区,,风景名胜;风景名胜;风景名胜,110200,B0K345RQYY,风景名胜,风景名胜,风景名胜,
113.55777404285945,22.152844311780353,嘉模会馆,中国澳门嘉模堂区凼仔嘉路士米耶马路,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;风景名胜相关;旅游景点,110000,B0FFHCBSPD,风景名胜,风景名胜相关,旅游景点,
113.55616872014615,22.15365509761129,喜利登广场,地堡街,澳门特别行政区,澳门特别行政区,嘉模堂区,,风景名胜;公园广场;城市广场,110105,B0FFI7K621,风景名胜,公园广场,城市广场,
